         159764 function calls (159422 primitive calls) in 37.516 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      496    0.001    0.000    0.001    0.000 {map}
      197    0.001    0.000    0.001    0.000 {max}
       18    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
      911    0.001    0.000    0.001    0.000 {method 'acquire' of 'thread.lock' objects}
       43    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     3411    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.008    0.008    0.008    0.008 {method 'connect' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
      198    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
      198    0.002    0.000    0.004    0.000 {method 'decode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       99    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
  792/495    0.003    0.000    0.021    0.000 {method 'encode' of 'unicode' objects}
     2079    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
      200    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
       98    0.000    0.000    0.000    0.000 {method 'fileno' of '_socket.socket' objects}
     3366    0.006    0.000    0.006    0.000 {method 'find' of 'str' objects}
      297    0.001    0.000    0.001    0.000 {method 'find' of 'unicode' objects}
      198    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
     6739    0.006    0.000    0.006    0.000 {method 'get' of 'dict' objects}
       99    0.000    0.000    0.000    0.000 {method 'getvalue' of 'cStringIO.StringO' objects}
        1    0.000    0.000    0.000    0.000 {method 'groups' of '_sre.SRE_Match' objects}
      198    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
     7920    0.004    0.000    0.004    0.000 {method 'isspace' of 'str' objects}
     2085    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
     1290    0.005    0.000    0.111    0.000 {method 'join' of 'str' objects}
      595    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
    20396    0.015    0.000    0.015    0.000 {method 'lower' of 'str' objects}
       99    0.000    0.000    0.000    0.000 {method 'lower' of 'unicode' objects}
      100    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      202    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       99    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     2079    0.005    0.000    0.005    0.000 {method 'read' of 'cStringIO.StringO' objects}
        1    0.003    0.003    0.003    0.003 {method 'read' of 'file' objects}
     2079    0.002    0.000    0.002    0.000 {method 'readline' of 'cStringIO.StringO' objects}
      296   36.804    0.124   36.804    0.124 {method 'recv' of '_socket.socket' objects}
      703    0.001    0.000    0.001    0.000 {method 'release' of 'thread.lock' objects}
        2    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       21    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      297    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     4553    0.004    0.000    0.004    0.000 {method 'seek' of 'cStringIO.StringO' objects}
       99    0.006    0.000    0.006    0.000 {method 'sendall' of '_socket.socket' objects}
     1007    0.003    0.000    0.003    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
      595    0.001    0.000    0.001    0.000 {method 'sort' of 'list' objects}
       99    0.001    0.000    0.001    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
      695    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
      198    0.001    0.000    0.001    0.000 {method 'split' of 'unicode' objects}
      892    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
       99    0.000    0.000    0.000    0.000 {method 'startswith' of 'unicode' objects}
     3170    0.003    0.000    0.003    0.000 {method 'strip' of 'str' objects}
     2474    0.001    0.000    0.001    0.000 {method 'tell' of 'cStringIO.StringO' objects}
        2    0.000    0.000    0.000    0.000 {method 'tolist' of 'array.array' objects}
        2    0.000    0.000    0.000    0.000 {method 'tostring' of 'array.array' objects}
        1    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      396    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      396    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
     2277    0.009    0.000    0.009    0.000 {method 'write' of 'cStringIO.StringO' objects}
      210    0.000    0.000    0.000    0.000 {min}
        7    0.000    0.000    0.000    0.000 {ord}
        1    0.001    0.001    0.001    0.001 {posix.popen}
      198    0.005    0.000    0.005    0.000 {posix.stat}
        1    0.000    0.000    0.000    0.000 {posix.uname}
      210    0.000    0.000    0.000    0.000 {range}
       98    0.000    0.000    0.000    0.000 {select.poll}
        6    0.000    0.000    0.000    0.000 {setattr}
      301    0.001    0.000    0.001    0.000 {thread.allocate_lock}
     1190    0.001    0.000    0.001    0.000 {thread.get_ident}
      495    0.001    0.000    0.001    0.000 {time.time}
       99    0.001    0.000    0.001    0.000 {zlib.decompressobj}


