         16044 function calls (15972 primitive calls) in 1.190 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.000    0.000 util.py:298(split_first)
       18    0.000    0.000    0.001    0.000 util.py:331(parse_url)
        9    0.000    0.000    0.000    0.000 util.py:44(current_time)
        8    0.000    0.000    0.000    0.000 util.py:471(is_connection_dropped)
       27    0.000    0.000    0.000    0.000 util.py:578(is_fp_closed)
       63    0.000    0.000    0.002    0.000 utils.py:144(to_key_val_list)
        9    0.000    0.000    0.001    0.000 utils.py:300(get_encoding_from_headers)
        9    0.000    0.000    0.000    0.000 utils.py:385(unquote_unreserved)
        9    0.000    0.000    0.000    0.000 utils.py:407(requote_uri)
        9    0.000    0.000    0.002    0.000 utils.py:469(should_bypass_proxies)
        9    0.000    0.000    0.000    0.000 utils.py:473(<lambda>)
        9    0.000    0.000    0.000    0.000 utils.py:48(super_len)
        9    0.000    0.000    0.002    0.000 utils.py:514(get_environ_proxies)
        1    0.000    0.000    0.004    0.004 utils.py:522(default_user_agent)
        1    0.000    0.000    0.005    0.005 utils.py:553(default_headers)
        9    0.000    0.000    0.000    0.000 utils.py:639(get_auth_from_url)
       27    0.000    0.000    0.000    0.000 utils.py:652(to_native_string)
        9    0.001    0.000    0.003    0.000 utils.py:68(get_netrc_auth)
        1    0.001    0.001    0.012    0.012 {__import__}
       18    0.000    0.000    0.000    0.000 {_codecs.utf_8_decode}
        1    0.013    0.013    0.013    0.013 {_socket.getaddrinfo}
        2    0.000    0.000    0.000    0.000 {_sre.compile}
        9    0.000    0.000    0.000    0.000 {all}
       10    0.000    0.000    0.000    0.000 {any}
      100    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x91f8e0}
       18    0.006    0.000    0.006    0.000 {built-in method decompress}
        9    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        8    0.000    0.000    0.000    0.000 {built-in method poll}
        8    0.000    0.000    0.000    0.000 {built-in method register}
       18    0.000    0.000    0.000    0.000 {built-in method utcnow}
      225    0.000    0.000    0.000    0.000 {cStringIO.StringIO}
        1    0.000    0.000    0.000    0.000 {filter}
      265    0.000    0.000    0.000    0.000 {getattr}
      239    0.001    0.000    0.001    0.000 {hasattr}
      553    0.001    0.000    0.005    0.000 {isinstance}
     23/6    0.000    0.000    0.001    0.000 {issubclass}
  895/893    0.000    0.000    0.000    0.000 {len}
       46    0.000    0.000    0.000    0.000 {map}
       18    0.000    0.000    0.000    0.000 {max}
       18    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
      101    0.000    0.000    0.000    0.000 {method 'acquire' of 'thread.lock' objects}
       43    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      441    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.006    0.006    0.006    0.006 {method 'connect' of '_socket.socket' objects}
        2    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       18    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
       18    0.000    0.000    0.000    0.000 {method 'decode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        9    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
    72/45    0.000    0.000    0.013    0.000 {method 'encode' of 'unicode' objects}
      189    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       20    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        8    0.000    0.000    0.000    0.000 {method 'fileno' of '_socket.socket' objects}
      306    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       27    0.000    0.000    0.000    0.000 {method 'find' of 'unicode' objects}
       18    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      620    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        9    0.000    0.000    0.000    0.000 {method 'getvalue' of 'cStringIO.StringO' objects}
