         47986 function calls (47854 primitive calls) in 2.871 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       29    0.000    0.000    0.004    0.000 poolmanager.py:123(connection_from_url)
        2    0.000    0.000    0.000    0.000 poolmanager.py:65(__init__)
        1    0.000    0.000    0.000    0.000 poolmanager.py:71(_new_pool)
       29    0.000    0.000    0.003    0.000 poolmanager.py:97(connection_from_host)
       58    0.001    0.000    0.001    0.000 posixpath.py:258(expanduser)
        2    0.000    0.000    0.005    0.002 re.py:188(compile)
        2    0.000    0.000    0.005    0.002 re.py:226(_compile)
        3    0.000    0.000    0.000    0.000 request.py:50(__init__)
        1    0.001    0.001    2.871    2.871 requeststest.py:9(golist)
       29    0.000    0.000    0.002    0.000 response.py:116(release_conn)
       58    0.002    0.000    0.026    0.000 response.py:132(read)
       87    0.000    0.000    0.027    0.000 response.py:208(stream)
       29    0.002    0.000    0.003    0.000 response.py:231(from_httplib)
       29    0.000    0.000    0.000    0.000 response.py:276(closed)
       29    0.000    0.000    0.000    0.000 response.py:46(_get_decoder)
       29    0.001    0.000    0.001    0.000 response.py:79(__init__)
      580    0.006    0.000    0.007    0.000 rfc822.py:197(isheader)
      609    0.001    0.000    0.001    0.000 rfc822.py:209(islast)
      609    0.000    0.000    0.000    0.000 rfc822.py:219(iscomment)
      116    0.005    0.000    0.007    0.000 rfc822.py:228(getallmatchingheaders)
      174    0.000    0.000    0.001    0.000 rfc822.py:285(getheader)
      116    0.000    0.000    0.007    0.000 rfc822.py:295(getheaders)
       29    0.000    0.000    0.000    0.000 rfc822.py:454(items)
       29    0.000    0.000    0.033    0.001 rfc822.py:88(__init__)
        1    0.000    0.000    0.003    0.003 sessions.py:267(__init__)
       29    0.001    0.000    0.046    0.002 sessions.py:324(prepare_request)
       29    0.001    0.000    2.866    0.099 sessions.py:363(request)
      203    0.002    0.000    0.012    0.000 sessions.py:42(merge_setting)
       29    0.000    0.000    2.866    0.099 sessions.py:459(get)
       29    0.002    0.000    2.811    0.097 sessions.py:528(send)
       29    0.000    0.000    0.001    0.000 sessions.py:590(get_adapter)
        2    0.000    0.000    0.000    0.000 sessions.py:605(mount)
       29    0.000    0.000    0.000    0.000 sessions.py:73(merge_hooks)
       29    0.000    0.000    0.001    0.000 sessions.py:90(resolve_redirects)
        1    0.000    0.000    0.000    0.000 shlex.py:2(<module>)
